                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1191,                 2.7638,                 1.3191,                 0.5854,                0.51178,                0.50165,                0.34535,                 1.0608,                 1.7667,                 1.2171,             0.00020797,             0.00020797,             0.00020797
                      2,                  1.077,                 1.8002,                 1.2874,                0.61552,                0.58456,                0.61175,                0.42901,                0.99929,                 1.4727,                 1.1722,             0.00038882,             0.00038882,             0.00038882
                      3,                 1.0487,                 1.6209,                 1.2585,                0.71284,                0.62622,                0.65651,                0.46393,                0.99457,                 1.3277,                 1.1557,             0.00054218,             0.00054218,             0.00054218
                      4,                  1.023,                 1.4815,                 1.2338,                0.66507,                0.65592,                0.69891,                0.49481,                0.96865,                 1.1661,                 1.1217,             0.00050125,             0.00050125,             0.00050125
                      5,                0.98832,                  1.368,                 1.2189,                0.77987,                0.69017,                0.74192,                 0.5387,                0.93293,                 1.0125,                 1.0894,                0.00046,                0.00046,                0.00046
                      6,                0.95768,                 1.2609,                 1.2021,                0.73735,                0.67421,                0.73773,                0.53303,                0.93042,                 1.0763,                 1.1005,             0.00041875,             0.00041875,             0.00041875
                      7,                0.93142,                 1.1522,                 1.1787,                0.77303,                0.74075,                0.78026,                0.57209,                0.89138,                 0.9574,                 1.0715,              0.0003775,              0.0003775,              0.0003775
                      8,                0.90973,                 1.0655,                 1.1676,                0.75828,                0.75754,                0.79432,                0.59714,                0.85535,                 0.8639,                  1.048,             0.00033625,             0.00033625,             0.00033625
                      9,                 0.8822,                 1.0057,                 1.1492,                0.78987,                0.76739,                0.81353,                0.61218,                0.84351,                 0.8231,                 1.0327,               0.000295,               0.000295,               0.000295
                     10,                0.86278,                0.94202,                 1.1379,                0.80754,                0.78643,                 0.8325,                 0.6281,                0.82927,                0.77319,                  1.021,             0.00025375,             0.00025375,             0.00025375
                     11,                0.83964,                0.88735,                 1.1179,                0.83162,                0.78787,                0.84805,                 0.6463,                 0.8055,                0.72551,                 1.0019,              0.0002125,              0.0002125,              0.0002125
                     12,                0.82012,                0.84078,                 1.1052,                0.83306,                0.81498,                0.85916,                0.66464,                0.78903,                 0.6962,                0.98849,             0.00017125,             0.00017125,             0.00017125
                     13,                0.80164,                0.80616,                 1.0968,                0.85832,                0.80798,                 0.8659,                0.67367,                0.76578,                0.66628,                0.97951,                0.00013,                0.00013,                0.00013
                     14,                0.77802,                0.76664,                 1.0816,                0.86955,                0.80905,                0.86927,                0.68372,                0.75237,                0.64565,                0.96557,              8.875e-05,              8.875e-05,              8.875e-05
                     15,                 0.7609,                0.73521,                 1.0706,                0.86532,                0.82594,                0.87621,                0.69459,                0.73468,                0.62933,                0.95877,               4.75e-05,               4.75e-05,               4.75e-05
